Priority,AssignedToID,ProjectCode,SubCategory,HoursEstimate,HoursActual
5,42,PC2,Enhancement,1.4,0.7
1,42,PC2,Bug,1.4,1.4
5,26,PC2,Bug,0.7,0.7
1,26,PC2,Bug,3.5,3.5
4,42,PC9,Bug,3.5,3.5
6,1,PC9,Enhancement,7.0,3.5
2,50,PC8,Enhancement,3.5,1.75
2,50,PC8,Enhancement,3.5,1.75
4,26,PC2,Enhancement,7.0,1.75
4,42,PC2,Enhancement,7.0,4.2
3,26,PC2,Bug,7.0,1.0
3,13,PC2,Bug,2.1,1.05
2,26,PC2,Enhancement,7.0,98.0
3,42,PC2,Bug,3.5,3.5
1,13,PC2,Enhancement,0.7,0.7
1,26,PC2,Bug,7.0,5.25
5,42,PC9,Enhancement,7.0,3.5
6,42,PC2,Enhancement,14.0,7.0
3,26,PC2,Bug,0.7,0.7
2,26,PC2,Enhancement,14.0,17.5
4,26,PC2,Bug,1.75,0.7
1,58,PC2,Enhancement,7.0,0.7
1,42,PC9,Bug,7.0,3.5
1,58,PC2,Bug,7.0,7.0
1,13,PC2,Enhancement,2.1,2.1
1,50,PC2,Bug,3.5,0.7
1,50,PC2,Bug,3.5,0.7
3,42,PC2,Enhancement,7.0,4.9
1,50,PC2,Bug,3.5,0.7
1,26,PC2,Bug,7.0,7.0
4,42,PC2,Bug,7.0,4.2
4,13,PC2,Bug,3.5,1.4
1,58,PC2,Bug,1.75,1.75
1,42,PC2,Bug,3.5,0.7
5,42,PC2,Bug,7.0,3.5
1,42,PC2,Bug,7.0,5.25
3,42,PC2,Bug,7.0,0.7
4,42,PC2,Enhancement,3.5,2.8
4,26,PC2,Enhancement,35.0,49.0
1,13,PC2,Enhancement,7.0,0.7
5,1,PC2,Enhancement,3.5,3.5
3,42,PC2,Bug,1.4,1.4
2,42,PC2,Bug,1.4,0.7
1,13,PC2,Enhancement,7.0,1.4
2,26,PC2,Bug,7.0,3.5
1,26,PC2,Enhancement,7.0,7.0
1,26,PC2,Bug,14.0,14.0
2,26,PC2,Enhancement,7.0,1.75
1,26,PC2,Bug,14.0,1.75
5,26,PC2,Enhancement,1.75,1.75
1,26,PC2,Enhancement,21.0,21.0
3,26,PC2,Enhancement,21.0,0.7
2,26,PC2,Enhancement,10.5,7.0
1,42,PC2,Enhancement,14.0,14.0
3,42,PC2,Enhancement,1.75,0.7
5,1,PC2,Enhancement,1.4,1.4
2,42,PC2,Enhancement,7.0,4.2
5,1,PC17,Bug,7.0,1.4
3,42,PC11,Enhancement,14.0,7.0
5,24,PC17,Enhancement,7.0,7.0
2,26,PC16,Enhancement,35.0,19.25
3,26,PC2,Bug,1.75,1.75
3,26,PC2,Enhancement,10.5,1.75
2,42,PC2,Bug,7.0,14.7
1,42,PC2,Bug,3.5,3.5
1,26,PC2,Enhancement,14.0,5.25
3,42,PC11,Bug,0.7,0.7
2,42,PC2,Bug,7.0,3.5
2,26,PC17,Bug,3.5,8.75
4,42,PC2,Enhancement,7.0,5.25
3,26,PC9,Enhancement,1.75,0.7
2,42,PC2,Enhancement,0.7,0.35
4,42,PC2,Bug,3.5,2.1
1,26,PC2,Enhancement,14.0,5.25
3,42,PC9,Bug,3.5,9.1
4,42,PC2,Bug,3.5,0.7
2,42,PC2,Bug,7.0,7.0
1,13,PC2,Bug,7.0,3.5
1,26,PC17,Enhancement,7.0,5.25
2,26,PC2,Bug,3.5,3.5
1,13,PC2,Enhancement,1.4,1.4
1,42,PC2,Bug,1.75,0.7
6,42,PC2,Enhancement,3.5,4.9
1,13,PC2,Bug,3.5,3.5
4,42,PC2,Bug,1.75,1.4
1,42,PC2,Bug,7.0,2.8
2,42,PC2,Bug,3.5,0.7
2,26,PC16,Enhancement,10.5,8.75
3,42,PC2,Bug,10.5,10.5
2,26,PC2,Enhancement,7.0,5.25
1,26,PC2,Bug,7.0,5.25
2,26,PC2,Bug,7.0,0.7
4,42,PC2,Enhancement,3.5,4.9
1,26,PC2,Bug,7.0,0.7
2,26,PC2,Bug,7.0,0.7
2,42,PC2,Enhancement,3.5,2.1
3,42,PC2,Enhancement,1.75,1.75
1,26,PC2,Bug,0.7,0.7
2,26,PC8,Enhancement,10.5,5.95
2,26,PC16,Enhancement,14.0,23.0
2,26,PC16,Enhancement,7.0,5.0
2,26,PC16,Enhancement,7.0,19.0
2,26,PC16,Enhancement,14.0,7.5
1,26,PC2,Bug,7.0,7.0
3,26,PC2,Enhancement,7.0,7.0
3,26,PC2,Bug,7.0,1.75
1,65,PC2,Enhancement,7.0,7.5
4,42,PC2,Enhancement,7.0,0.35
4,42,PC2,Enhancement,7.0,3.5
3,42,PC2,Bug,7.0,2.1
3,26,PC2,Bug,1.75,3.5
3,42,PC9,Bug,3.5,1.4
4,42,PC2,Bug,7.0,14.0
5,1,PC2,Bug,7.0,10.5
4,42,PC9,Bug,7.0,5.25
5,1,PC2,Enhancement,7.0,1.4
2,42,PC2,Enhancement,7.0,10.5
4,42,PC2,Bug,7.0,3.5
5,1,PC2,Enhancement,1.4,1.4
5,1,PC2,Enhancement,7.0,7.0
5,1,PC2,Enhancement,1.4,1.4
1,42,PC2,Bug,1.4,1.75
2,26,PC2,Enhancement,3.5,3.5
1,42,PC2,Enhancement,7.0,10.5
1,42,PC2,Bug,3.5,3.5
4,42,PC2,Bug,3.5,3.5
4,42,PC2,Enhancement,7.0,4.2
1,42,PC2,Bug,3.5,0.7
5,42,PC2,Bug,14.0,1.75
3,42,PC2,Bug,7.0,3.5
3,42,PC2,Bug,7.0,4.0
1,26,PC9,Enhancement,7.0,2.0
10,1,PC9,Enhancement,0.2,0.5
5,42,PC2,Release,7.0,6.0
5,24,PC17,Enhancement,25.0,7.0
5,24,PC17,Enhancement,4.0,4.0
1,58,PC11,Bug,0.33,0.33
1,58,PC11,Enhancement,0.32,0.32
1,58,PC11,Bug,0.1,0.1
8,58,PC11,Enhancement,0.1,0.1
1,58,PC11,Bug,0.1,0.1
1,58,PC11,Bug,0.1,0.1
1,58,PC11,Bug,0.1,0.1
4,58,PC11,Bug,1.5,1.5
1,58,PC11,Bug,0.1,0.1
1,58,PC11,Bug,0.1,0.1
1,58,PC11,Bug,0.33,0.33
5,58,PC11,Bug,0.1,0.1
1,58,PC11,Bug,0.1,0.1
1,58,PC11,Bug,0.1,0.1
10,58,PC11,Bug,3.0,3.0
2,58,PC11,Bug,0.5,0.5
5,58,PC11,Bug,2.66,2.0
7,42,PC2,Enhancement,0.3,0.5
1,58,PC11,Bug,2.0,2.0
1,58,PC11,Bug,1.2,2.6
1,26,PC16,Enhancement,10.0,6.0
1,26,PC16,Enhancement,2.5,10.5
1,22,PC11,Enhancement,2.5,1.5
1,58,PC11,Bug,0.5,0.1
1,58,PC11,Enhancement,1.0,0.77
2,26,PC2,Enhancement,14.0,29.0
1,58,PC11,Enhancement,1.0,1.0
1,58,PC11,Enhancement,3.5,3.5
4,42,PC2,Bug,5.0,3.0
1,58,PC11,Bug,1.0,0.37
5,1,PC9,Bug,3.0,1.0
1,58,PC11,Release,1.0,2.0
2,58,PC11,Enhancement,0.1,0.1
6,58,PC11,Bug,0.1,0.1
6,58,PC11,Bug,0.1,0.1
3,58,PC11,Enhancement,0.5,0.5
1,42,PC2,Business Specification,3.0,3.0
1,42,PC2,Enhancement,5.0,3.5
5,58,PC11,Bug,0.1,0.1
1,58,PC9,Bug,7.0,0.54
6,58,PC11,Bug,0.5,0.1
1,58,PC9,Bug,1.0,2.49
2,22,PC11,Technical Specification,2.0,2.0
5,24,PC17,Enhancement,40.0,2.0
1,58,PC11,Enhancement,4.0,1.46
1,58,PC11,Release,1.0,1.19
4,58,PC9,Bug,2.0,0.8
1,58,PC11,Release,0.5,0.72
1,58,PC11,Bug,1.0,0.5
1,58,PC11,Bug,0.1,0.1
4,24,PC17,Enhancement,3.0,1.0
1,58,PC11,Bug,0.1,0.91
1,58,PC11,Bug,1.0,0.1
1,58,PC11,Bug,1.0,0.1
3,58,PC11,Bug,0.5,0.2
5,42,PC2,Enhancement,0.5,0.5
3,42,PC2,Enhancement,7.0,3.5
1,58,PC9,Bug,2.0,0.55
1,22,PC11,Enhancement,1.0,4.5
1,26,PC11,Bug,7.0,7.0
1,58,PC11,Bug,0.1,0.1
1,26,PC2,Bug,5.0,2.0
1,58,PC9,Bug,1.0,1.75
8,58,PC9,Bug,3.0,1.0
3,58,PC11,Bug,0.5,0.5
3,58,PC2,Bug,2.0,0.5
1,58,PC9,Release,1.0,1.31
1,42,PC2,Bug,5.0,4.5
1,58,PC9,Bug,0.5,0.1
1,58,PC11,Release,0.5,0.75
2,42,PC2,Enhancement,0.25,0.25
3,1,PC9,Bug,1.5,1.0
2,22,PC11,Documentation,0.3,1.0
5,42,PC2,Bug,4.0,0.5
3,24,PC17,Enhancement,8.0,10.0
1,42,PC2,Bug,4.0,0.75
1,26,PC2,Bug,21.0,24.0
5,22,PC2,Enhancement,4.0,3.4
5,58,PC11,Bug,0.5,0.5
1,26,PC11,Bug,14.0,4.0
1,13,PC2,Enhancement,14.0,14.0
1,26,PC16,Enhancement,4.0,4.0
8,42,PC2,Enhancement,1.0,3.0
1,26,PC2,Bug,1.0,1.0
1,26,PC16,Enhancement,4.0,4.0
1,26,PC16,Enhancement,4.0,3.0
2,22,PC11,Enhancement,0.5,1.0
3,42,PC2,Bug,4.0,4.0
2,22,PC11,Bug,0.5,0.1
5,24,PC17,Release,4.0,7.0
5,24,PC17,Release,6.0,16.0
5,1,PC2,Enhancement,1.0,3.0
2,58,PC11,Bug,14.5,10.36
2,22,PC11,Enhancement,2.0,2.62
2,58,PC11,Enhancement,0.5,1.03
1,22,PC11,Enhancement,7.0,8.1
1,58,PC11,Enhancement,4.0,4.1
2,22,PC11,Release,7.0,7.0
1,58,PC11,Bug,0.5,0.1
2,13,PC2,Enhancement,1.0,1.0
3,22,PC2,Release,30.0,25.5
1,58,PC11,Release,1.5,1.5
2,42,PC2,Bug,0.1,0.1
1,58,PC9,Release,1.0,0.5
1,26,PC2,Bug,2.0,0.5
1,58,PC9,Bug,1.0,0.95
1,58,PC9,Release,0.5,0.3
1,58,PC11,Release,0.5,0.75
1,26,PC2,Bug,1.0,1.0
4,24,PC17,Enhancement,4.0,7.0
1,58,PC11,Enhancement,0.5,4.87
4,24,PC17,Enhancement,21.0,5.5
5,58,PC9,Documentation,2.0,0.5
1,58,PC11,Enhancement,0.75,0.45
1,58,PC11,Enhancement,2.0,3.28
4,24,PC17,Enhancement,4.0,4.0
1,58,PC11,Enhancement,1.0,1.0
2,22,PC11,Enhancement,1.0,0.5
4,42,PC2,Enhancement,3.0,2.0
1,13,PC2,Enhancement,7.0,24.0
4,24,PC17,Enhancement,3.0,0.5
1,13,PC2,Release,0.5,0.5
1,13,PC2,Enhancement,0.5,0.3
1,26,PC16,Bug,10.0,8.0
1,58,PC11,Enhancement,4.0,5.8
1,13,PC2,Release,1.0,0.4
5,24,PC17,Enhancement,5.0,4.5
1,58,PC11,Enhancement,1.0,0.75
4,24,PC17,Enhancement,2.0,2.5
1,43,PC17,Enhancement,2.0,2.0
4,24,PC17,Enhancement,1.0,0.5
1,13,PC2,Enhancement,1.0,1.0
4,42,PC2,Bug,5.0,1.0
1,58,PC11,Bug,1.0,0.1
1,58,PC11,Bug,1.0,2.0
1,58,PC9,Bug,1.0,1.0
1,58,PC9,Bug,1.0,1.0
1,26,PC16,Enhancement,14.0,9.0
4,24,PC17,Enhancement,7.0,3.0
1,58,PC9,Enhancement,1.0,1.1
7,24,PC17,Enhancement,12.0,0.75
1,58,PC11,Enhancement,5.0,8.8
1,26,PC2,Enhancement,5.0,2.0
1,13,PC2,Bug,2.0,2.0
1,13,PC2,Enhancement,1.0,1.0
5,24,PC2,Enhancement,2.0,0.6
3,42,PC9,Bug,2.0,3.75
3,26,PC9,Enhancement,2.0,1.0
2,22,PC11,Documentation,1.0,3.0
6,24,PC17,Enhancement,2.0,2.0
1,13,PC2,Release,0.5,0.5
1,13,PC2,Release,1.0,1.0
1,26,PC2,Enhancement,3.0,6.0
1,13,PC2,Bug,1.0,1.0
4,24,PC17,Enhancement,35.0,41.0
5,24,PC17,Enhancement,56.0,18.4
5,24,PC17,Enhancement,35.0,52.7
1,13,PC2,Release,0.5,0.2
4,24,PC2,Training,35.0,78.1
1,13,PC2,Release,0.5,0.5
1,26,PC2,Bug,2.0,2.0
1,13,PC2,Enhancement,0.5,0.4
4,24,PC2,Enhancement,10.0,3.1
1,13,PC2,Enhancement,1.0,0.5
5,1,PC2,Enhancement,7.0,7.0
2,26,PC2,Bug,1.0,1.0
1,13,PC2,Enhancement,0.5,0.4
1,13,PC2,Release,0.2,0.1
1,13,PC2,Enhancement,0.5,0.5
3,58,PC11,Enhancement,1.0,1.5
2,22,PC11,Documentation,2.0,0.31
2,22,PC11,Enhancement,0.35,0.3
1,13,PC2,Release,0.2,0.2
4,13,PC2,Enhancement,0.2,0.2
1,58,PC11,Release,0.75,0.75
10,65,PC18,Documentation,20.0,26.5
2,26,PC2,Enhancement,1.0,1.5
7,58,PC9,Bug,0.5,0.75
1,58,PC9,Bug,2.0,0.75
1,58,PC11,Enhancement,1.0,1.5
2,22,PC11,Enhancement,2.0,6.5
10,42,PC18,Training,5.0,5.25
2,58,PC11,Enhancement,1.5,1.4
1,13,PC2,Enhancement,0.4,0.3
1,65,PC11,Release,2.0,1.5
2,58,PC11,Enhancement,0.1,0.1
1,58,PC2,Release,1.0,0.75
1,26,PC2,Enhancement,4.0,3.5
10,65,PC18,Training,7.0,7.0
5,24,PC17,Enhancement,4.0,19.0
1,26,PC2,Enhancement,3.0,8.5
1,26,PC2,Bug,3.0,7.5
1,26,PC2,Enhancement,7.0,13.0
2,13,PC2,Bug,0.5,0.5
4,58,PC11,Enhancement,0.5,0.5
1,13,PC2,Enhancement,0.5,0.5
1,13,PC2,Bug,0.5,0.5
1,13,PC2,Enhancement,0.5,0.5
1,13,PC2,Enhancement,1.5,0.3
5,1,PC2,Enhancement,3.0,1.0
5,1,PC2,Enhancement,7.0,7.0
1,26,PC2,Enhancement,1.0,0.5
2,22,PC2,Bug,4.0,3.0
1,13,PC2,Bug,1.0,1.5
1,22,PC11,Documentation,0.5,0.4
1,26,PC2,Bug,2.0,3.0
1,58,PC9,Release,0.75,0.75
10,24,PC17,Business Specification,28.0,4.5
1,58,PC11,Enhancement,1.0,3.0
1,58,PC11,Enhancement,0.75,1.04
2,22,PC2,Training,5.0,1.5
1,13,PC2,Enhancement,0.75,0.75
5,65,PC2,Bug,0.5,0.5
3,42,PC2,Training,1.5,1.25
5,1,PC2,Enhancement,1.0,1.0
8,65,PC2,Release,14.0,7.0
2,22,PC2,Bug,7.0,30.8
5,1,PC2,Enhancement,1.0,1.0
5,1,PC2,Enhancement,2.0,2.0
3,58,PC2,Business Specification,1.0,1.0
1,13,PC2,Enhancement,0.5,0.5
6,24,PC17,Enhancement,7.0,7.0
1,13,PC2,Enhancement,1.0,1.0
1,58,PC11,Testing,1.0,0.75
1,58,PC11,Release,0.5,0.6
1,58,PC11,Bug,0.75,0.5
5,1,PC2,Enhancement,1.5,1.5
1,58,PC11,Bug,0.75,0.5
1,58,PC11,Enhancement,1.0,0.62
1,13,PC2,Enhancement,1.0,1.0
6,24,PC17,Enhancement,10.0,11.3
1,13,PC2,Enhancement,21.0,31.5
3,24,PC17,Enhancement,12.0,5.1
1,13,PC2,Enhancement,2.0,1.0
5,1,PC2,Bug,2.0,1.5
5,1,PC2,Bug,2.0,1.5
1,58,PC11,Release,7.0,6.25
1,58,PC9,Enhancement,1.0,0.5
1,58,PC11,Enhancement,0.5,0.5
1,58,PC11,Enhancement,7.0,8.25
5,24,PC17,Enhancement,0.5,1.7
2,22,PC2,Bug,0.5,0.5
4,42,PC18,Training,0.5,0.5
1,22,PC11,Enhancement,3.0,0.1
1,58,PC11,Bug,1.0,0.5
5,24,PC17,Enhancement,21.0,10.5
5,1,PC2,Enhancement,0.5,0.75
1,58,PC11,Enhancement,3.0,5.0
1,58,PC11,Enhancement,2.0,3.0
1,42,PC2,Bug,14.0,37.75
1,1,PC2,Bug,14.0,14.0
1,13,PC2,Bug,21.0,11.5
2,26,PC16,Enhancement,2.0,1.5
2,26,PC16,Enhancement,3.0,2.5
2,26,PC16,Enhancement,7.0,4.0
2,26,PC16,Enhancement,2.0,0.5
1,13,PC2,Bug,7.0,2.5
1,22,PC11,Bug,3.0,0.3
10,22,PC11,Training,20.0,9.9
1,58,PC11,Enhancement,3.5,4.0
2,26,PC16,Technical Specification,2.0,2.5
1,58,PC11,Release,4.0,3.0
1,58,PC9,Release,2.0,3.5
1,13,PC2,Release,0.75,0.75
5,65,PC2,Bug,6.0,2.0
2,26,PC16,Enhancement,2.0,0.5
1,13,PC8,Enhancement,3.0,4.0
2,22,PC11,Enhancement,3.0,1.0
2,22,PC8,Enhancement,2.0,1.0
1,26,PC16,Testing,7.5,6.0
1,58,PC11,Testing,3.0,2.25
1,58,PC11,Bug,0.5,0.5
1,58,PC11,Bug,1.0,1.0
3,26,PC16,Enhancement,2.0,2.5
2,26,PC2,Enhancement,1.0,0.5
2,26,PC2,Enhancement,2.0,2.0
1,22,PC2,Bug,1.0,1.0
2,26,PC2,Enhancement,7.0,4.5
10,65,PC9,Enhancement,10.0,14.5
1,58,PC11,Enhancement,4.0,2.0
